Unnamed: 0,frase,pregunta_generada,respuesta,Faithfulness_score
10,"5.º Si el Calendario no está a la venta para el 1 de noviembre, la subasta será anulada y se realizará otra subasta a cargo del licitador anterior, para que el Calendario esté a la venta para el 1 de diciembre.",¿Qué se hará si la subasta es anulada debido a la falta de disponibilidad del Almanak? ,Se realizará otra subasta a cargo del licitador anterior para que el Calendario esté a la venta para el 1 de diciembre.,True
11,"5.º Si el Calendario no está a la venta para el 1 de noviembre, la subasta será anulada y se realizará otra subasta a cargo del licitador anterior, para que el Calendario esté a la venta para el 1 de diciembre.",¿Cuál es la fecha límite para que el Almanak esté disponible para la venta al público?,La fecha límite para que el Almanak esté disponible para la venta al público es el 1 de diciembre.,True
12,"¡Quién le ha dicho a esa persona malintencionada que todos los que estuvieron en el mencionado juego no son ciudadanos, y por lo tanto están excluidos de gobernarlos!. No sabe que no hay ninguna diferencia entre los infelices esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo fin) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre aquellos que fabricaban fusiles y espadas para los franceses, los vestían, calzaban y vendían alimentos?",¿Quién podría haber informado a esa persona maliciosa sobre la exclusión de los ciudadanos que participaron en el juego mencionado? ,Nadie ha informado a esa persona malintencionada sobre la exclusión de los ciudadanos que participaron en el juego mencionado.,False
13,"¡Quién le ha dicho a esa persona malintencionada que todos los que estuvieron en el mencionado juego no son ciudadanos, y por lo tanto están excluidos de gobernarlos!. No sabe que no hay ninguna diferencia entre los infelices esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo fin) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre aquellos que fabricaban fusiles y espadas para los franceses, los vestían, calzaban y vendían alimentos?", ¿Es consciente de la similitud entre los esclavizados de la Ruleta y los trabajadores de las huertas mencionadas? ,"La persona malintencionada que afirma que todos los que estuvieron en el mencionado juego no son ciudadanos y, por lo tanto, están excluidos de gobernarlos, no es consciente de que no hay ninguna diferencia entre los infelices esclavizados de la Ruleta y los que trabajaban en las huertas de Almenara, Romero, la Alameda y casa de Campo.",True
14,"¡Quién le ha dicho a esa persona malintencionada que todos los que estuvieron en el mencionado juego no son ciudadanos, y por lo tanto están excluidos de gobernarlos!. No sabe que no hay ninguna diferencia entre los infelices esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo fin) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre aquellos que fabricaban fusiles y espadas para los franceses, los vestían, calzaban y vendían alimentos?", ¿Qué diferencias reales existen entre los diversos grupos de personas mencionados en el texto?,No hay diferencias reales entre los grupos de personas mencionados en el texto.,False
15,"Según la orden del alcalde de la ciudad Don Manuel de Saravia, se ha programado para el día 8 de mayo a las once de la mañana, la subasta de un reloj de mesa de bronce, en buen estado y dorado, con una figura de mujer hecha del mismo metal, sentada sobre él y con varios atributos. Este reloj se vende para pagar a un acreedor y su valor ha sido tasado en 2500 reales.",¿Quién ha programado la subasta del reloj de mesa de bronce con figura de mujer? ,El alcalde de la ciudad Don Manuel de Saravia.,True
16,"Según la orden del alcalde de la ciudad Don Manuel de Saravia, se ha programado para el día 8 de mayo a las once de la mañana, la subasta de un reloj de mesa de bronce, en buen estado y dorado, con una figura de mujer hecha del mismo metal, sentada sobre él y con varios atributos. Este reloj se vende para pagar a un acreedor y su valor ha sido tasado en 2500 reales.",¿Cuál es la fecha y hora programada para la subasta del reloj de mesa de bronce? ,La fecha y hora programada para la subasta del reloj de mesa de bronce es el día 8 de mayo a las once de la mañana.,True
17,"Según la orden del alcalde de la ciudad Don Manuel de Saravia, se ha programado para el día 8 de mayo a las once de la mañana, la subasta de un reloj de mesa de bronce, en buen estado y dorado, con una figura de mujer hecha del mismo metal, sentada sobre él y con varios atributos. Este reloj se vende para pagar a un acreedor y su valor ha sido tasado en 2500 reales.",¿Por qué se está vendiendo el reloj de mesa de bronce con figura de mujer?,El reloj de mesa de bronce con figura de mujer se está vendiendo para pagar a un acreedor.,True
18,"Ayer, a las 4 y media de la tarde hubo una asistencia de 2040 personas en el teatro de la calle del Príncipe. En dicho teatro, la compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"", junto con un sainete y dos canciones.",¿Cuántas personas asistieron ayer a las 4 y media de la tarde al teatro de la calle del Príncipe? ,2040 personas.,True
19,"Ayer, a las 4 y media de la tarde hubo una asistencia de 2040 personas en el teatro de la calle del Príncipe. En dicho teatro, la compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"", junto con un sainete y dos canciones.",¿Qué obra está representando la compañía de Ribera en el teatro de la calle del Príncipe? ,"La compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"" en el teatro de la calle del Príncipe.",True
20,"Ayer, a las 4 y media de la tarde hubo una asistencia de 2040 personas en el teatro de la calle del Príncipe. En dicho teatro, la compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"", junto con un sainete y dos canciones.",¿Qué tipo de espectáculo estará adornando la ópera cómica nueva en el teatro de la Cruz mañana sábado?,"La ópera cómica nueva en el Teatro de la Cruz mañana sábado estará adornada con bailes, coros y nuevas decoraciones teatrales. Además, será precedida por una gran sinfonía compuesta especialmente para esta ópera.",False
21,"En la calle de la Cruz del Espíritu santo n. 9 frente a la calle de la Madera, en el piso bajo de la fabrica de alfombras, se venden tres vasos grandes de china, dos faroles de cristal, dos cajas para tabaco, y otras cosas, y todo se dará a un precio justo.",¿Qué objetos se venden en la dirección mencionada?,"Se venden tres vasos grandes de china, dos faroles de cristal, dos cajas para tabaco, y otras cosas en la dirección mencionada.",True
22,"En la calle de la Cruz del Espíritu santo n. 9 frente a la calle de la Madera, en el piso bajo de la fabrica de alfombras, se venden tres vasos grandes de china, dos faroles de cristal, dos cajas para tabaco, y otras cosas, y todo se dará a un precio justo.",¿Cuántos faroles de cristal están disponibles para la venta?,Dos faroles de cristal están disponibles para la venta.,True
23,"En la calle de la Cruz del Espíritu santo n. 9 frente a la calle de la Madera, en el piso bajo de la fabrica de alfombras, se venden tres vasos grandes de china, dos faroles de cristal, dos cajas para tabaco, y otras cosas, y todo se dará a un precio justo.",¿Qué se menciona sobre la equidad del precio de los artículos ofrecidos?,Se menciona que todo se dará a un precio justo.,True
24,"La persona que haya perdido cerca de Recoletos un collar religioso con distintas medallas de plata, debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de Tarancon, casa sin número, cuarto.",¿Qué tipo de objetos perdió la persona cerca de Recoletos?,Un collar religioso con distintas medallas de plata.,True
25,"La persona que haya perdido cerca de Recoletos un collar religioso con distintas medallas de plata, debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de Tarancon, casa sin número, cuarto.",¿Dónde específicamente debe dirigirse la persona para recuperar los objetos perdidos?,"La persona debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de Tarancon, casa sin número, cuarto.",True
26,"La persona que haya perdido cerca de Recoletos un collar religioso con distintas medallas de plata, debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de Tarancon, casa sin número, cuarto.",¿Qué indicaciones se deben proporcionar al llegar al lugar para que le devuelvan los objetos perdidos?,Proporcionar las características del collar religioso con distintas medallas de plata perdido.,True
27,"Los únicos viajes útiles para las personas son aquellos que hacen los sabios para enriquecer a las naciones con sus nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos. También comparten las diversas producciones de los diferentes climas del mundo.",¿Qué tipo de viajes son considerados útiles para enriquecer a las naciones según el texto?,"Los viajes considerados útiles para enriquecer a las naciones son aquellos realizados por los sabios, quienes aportan nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos, además de compartir las diversas producciones de los diferentes climas del mundo.",True
28,"Los únicos viajes útiles para las personas son aquellos que hacen los sabios para enriquecer a las naciones con sus nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos. También comparten las diversas producciones de los diferentes climas del mundo.",¿Qué aspectos específicos menciona el texto que los sabios comparten durante sus viajes para enriquecer a las naciones?,"Los sabios comparten nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos, así como las diversas producciones de los diferentes climas del mundo.",True
29,"Los únicos viajes útiles para las personas son aquellos que hacen los sabios para enriquecer a las naciones con sus nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos. También comparten las diversas producciones de los diferentes climas del mundo.","¿Por qué se destaca la importancia de que los sabios realicen viajes para compartir sus descubrimientos sobre gobierno, religión, costumbres, carácter, industria y comercio de otros pueblos?","La importancia de que los sabios realicen viajes para compartir sus descubrimientos sobre gobierno, religión, costumbres, carácter, industria y comercio de otros pueblos radica en la posibilidad de enriquecer a las naciones con nuevos conocimientos y perspectivas, fomentando el intercambio cultural y el progreso tanto a nivel individual como colectivo.",True
30,"Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.",¿Dónde se encontró la yegua perdida el día 9 del mes pasado?,En el área de Vallecas.,True
31,"Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.",¿A quién debe acudir la persona que haya perdido la yegua?,La persona que haya perdido la yegua debe acudir al Sr. Alcalde de la Hermandad D. Nicolas Humanes.,True
32,"Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.",¿Qué señas debe proporcionar la persona al Sr. Alcalde para que le entregue la yegua perdida?,Las señas que la persona debe proporcionar al Sr. Alcalde para que le entregue la yegua perdida son las características del animal.,True
33,"El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.",¿Qué animal se extravió del portal de la calle Mayor el 29 de septiembre pasado entre las 7 y las 8 de la mañana?,Una burra de leche.,True
34,"El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.",¿Cómo se describe físicamente la burra que se perdió en el texto?,"La burra perdida es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.",True
35,"El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.",¿Qué características específicas se mencionan sobre la burra perdida en el texto proporcionado?,"La burra perdida es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.",True
36,"Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.",¿Qué se puede encontrar al entrar al portal a la mano derecha?,Una variedad de hilos de Galicia de diferentes tipos para coser y hacer calcetas.,True
37,"Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.",¿Qué tipos de hilos de Galicia estarán disponibles para la venta?,Hilos de diferentes tipos para coser y hacer calcetas de Galicia estarán disponibles para la venta.,True
38,"Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.",¿Cómo se asegura que los hilos de Galicia se venderán de manera equitativa?,Los hilos de Galicia se venderán de manera justa.,True
39,"El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.",¿Dónde se entregará el hallazgo si se encuentra a la persona mencionada en el texto?,"En la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha en Madrid.",True
40,"El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.",¿Qué tipo de monedas recibirá la persona que encuentre el objeto perdido?,La persona que encuentre el objeto perdido recibirá monedas de plata y oro.,True
41,"El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.",¿En qué dirección específica se encuentra la casa del Coronel Don Basilio Cano en Madrid?,Frente a la Iglesia de la Buenadicha.,True
42,"En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran algalias de goma elástica y candelillas, instrumentos muy eficaces para tratar a aquellos que sufren de problemas urinarios.","¿Qué se puede encontrar en la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller?",Algalias de goma elástica y candelillas.,True
43,"En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran algalias de goma elástica y candelillas, instrumentos muy eficaces para tratar a aquellos que sufren de problemas urinarios.",¿Qué tipo de instrumentos se mencionan como eficaces para tratar a quienes padecen mal de orina?,Algalias de goma elástica y candelillas.,True
44,"En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran algalias de goma elástica y candelillas, instrumentos muy eficaces para tratar a aquellos que sufren de problemas urinarios.",¿Dónde se ubican las algalias de goma elástica y candelillas según el texto?,"En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller.",True
45,"7.º El remate del Calendario se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe. Se hará en presencia del Sr. auditor D. Benito Salinas. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, notario principal de este juzgado militar y de la comisión.",¿Dónde se llevará a cabo el remate del Almanake y quién estará presente?,"El remate del Calendario se llevará a cabo en la auditoría de Guerra de esta plaza, en la calle del Príncipe, y estará presente el Sr. auditor D. Benito Salinas.",True
46,"7.º El remate del Calendario se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe. Se hará en presencia del Sr. auditor D. Benito Salinas. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, notario principal de este juzgado militar y de la comisión.",¿Quién fue comisionado para el remate del Almanake?,D. Custodio Eupiquez.,True
47,"7.º El remate del Calendario se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe. Se hará en presencia del Sr. auditor D. Benito Salinas. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, notario principal de este juzgado militar y de la comisión.",¿Quién será el encargado de la ejecución del remate del Almanake?,D. Custodio Eupiquez.,True
48,"Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de la Turquia Asiatica. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era consejero del califa Harounal-Raschild.",¿Quién relata en su libro llamado el Nighiaristan sobre su experiencia de dejar Damasco por Bagdad debido a la extrema pobreza? ,Ben-Mogheiran.,True
49,"Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de la Turquia Asiatica. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era consejero del califa Harounal-Raschild.",¿Por qué Ben-Mogheiran decidió mudarse con sus hijos a Bagdad desde Damasco? ,Ben-Mogheiran decidió mudarse con sus hijos a Bagdad desde Damasco debido a su gran pobreza.,True
50,"Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de la Turquia Asiatica. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era consejero del califa Harounal-Raschild.",¿En qué ciudad de la Turquía Asiática se estableció Ben-Mogheiran con sus hijos según el relato en el Nighiaristan?,"Ben-Mogheiran se estableció con sus hijos en Bagdad, una ciudad de la Turquía Asiática.",True
51,"Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.",¿Dónde puede alguien dirigirse si desea comprar las tierras con dinero en efectivo o vales reales?,"A la calle de Ministriles, casa número 24, cuarto principal.",True
52,"Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.","¿Qué información recibirá la persona en la calle de Ministriles, casa número 24, cuarto principal?",La persona recibirá información sobre la cantidad y ubicación de las tierras.,True
53,"Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.",¿Qué se le informará a la persona sobre las tierras en ese lugar?,La persona será informada sobre la cantidad y ubicación de las tierras en ese lugar.,True
54,"Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.",¿Qué habilidades específicas tiene el marido en este matrimonio joven?  ,El marido en este matrimonio joven tiene habilidades para escribir y contar.,True
55,"Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.",¿Qué actividades realiza la mujer en este matrimonio?  ,La mujer en este matrimonio se dedica a coser y planchar.,True
56,"Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.",¿Qué tipo de referencias pueden respaldar el buen comportamiento de este matrimonio?,Referencias de personas conocidas que avalen su buen comportamiento.,True
57,"Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.",¿Quién era Calpurnia y cuál era su relación con Julio César y Pison?,Calpurnia era la esposa de Julio César y la hija de Pison.,True
58,"Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.",¿Qué sucedió en el sueño de Calpurnia con respecto a su esposo?,"En el sueño de Calpurnia, ella vio a su marido siendo asesinado en sus propios brazos.",True
59,"Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.",¿Qué detalle adicional ocurrió después de que Calpurnia se despertara del sueño en el que veía a su marido siendo asesinado?,"Después de que Calpurnia se despertara del sueño en el que veía a su marido siendo asesinado, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.",True
60,"Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio los que lleven 25. Se compromete a dar un buen servicio, sirviendoles con la mayor brevedad. ",¿Dónde vive D. Felipe Fernández y en qué planta se encuentra su casa?,"Don Felipe Fernández vive en la calle del Mediodía Grande número 8, en la planta principal de la casa conocida como del Sol.",True
61,"Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio los que lleven 25. Se compromete a dar un buen servicio, sirviendoles con la mayor brevedad. ",¿Cuánto cobrará D. Felipe Fernández por copiar un pliego de 21 líneas escritas a una sola cara?,Don Felipe Fernández cobrará un real por copiar un pliego de 21 líneas escritas a una sola cara.,False
62,"Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio los que lleven 25. Se compromete a dar un buen servicio, sirviendoles con la mayor brevedad. ",¿Qué se compromete a hacer D. Felipe Fernández para las personas que le favorezcan con su trabajo de copiado?,"Don Felipe Fernández se compromete a copiar con buena caligrafía todo lo que se le encomiende, cobrando un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio por los que lleven 25 líneas, ofreciendo un buen servicio y entregando el trabajo con la mayor brevedad posible.",True
63,"Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer o un Señor Sacerdote en las mismas circunstancias. Se pagará la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo.",¿Qué tipo de acuerdo busca la mujer honorable con criado y criada para vivir en compañía de otra persona en las mismas circunstancias? ,"La mujer honorable con un sirviente y una sirvienta busca un acuerdo de convivencia compartida con otra mujer o un Señor Sacerdote, donde se dividan los gastos de la habitación y se establezca que los sirvientes atenderán a ambos según sea necesario.",True
64,"Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer o un Señor Sacerdote en las mismas circunstancias. Se pagará la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo.",¿Dónde se encuentra ubicado el Sr. Administrador de este Periódico al que se debe informar? ,En la Carrera de San Gerónimo.,True
