,original,gpt,manual,Preguntas_original,Preguntas_manual
10,"Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.","Si alguien perdió una yegua que encontró en el área de Ballecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si das las características.","Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.","¿Dónde se encontró la yegua perdida el día 9 del mes pasado?
¿Qué acciones debe tomar la persona que haya perdido la yegua?
¿Quién es la persona a la que deben acudir para recuperar la yegua perdida?","¿Dónde se encontró la yegua perdida el día 9 del mes pasado?
¿A quién debe acudir la persona que haya perdido la yegua?
¿Qué señas debe proporcionar la persona al Sr. Alcalde para que le entregue la yegua perdida?"
11,"Entre 7 y 8 de la mañana del 29 del pasado setiembre se extravió del portal de la calle Mayor, núm. 7, una burra de leche, pelo rubio, aparejada, con una matadura en la espaldilla izquierda, y herrada en el hocico.","El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva aparejo, tiene una herida en la espalda izquierda y está marcada en el hocico.","El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.","¿A qué hora y en qué fecha desapareció el animal mencionado?
¿Qué características físicas específicas tiene la burra perdida?
¿Dónde se extravió la burra de leche descrita en el texto?","¿Qué animal se extravió del portal de la calle Mayor el 29 de septiembre pasado entre las 7 y las 8 de la mañana?
¿Cómo se describe físicamente la burra que se perdió en el texto?
¿Qué características específicas se mencionan sobre la burra perdida en el texto proporcionado?"
12,"baxo entrando en su portal á mano derecha una partida de hilos de Galicia, de todas clases para coser y hacer calcetas, y se dará con toda equidad.","Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.","Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.",¿Qué tipo de productos se pueden encontrar al entrar a la derecha en el portal mencionado? ¿Qué se menciona sobre la equidad en relación con los hilos de Galicia? ¿Qué actividades se pueden realizar con los hilos de Galicia mencionados en el texto?,"¿Qué se puede encontrar al entrar al portal a la mano derecha?
¿Qué tipos de hilos de Galicia estarán disponibles para la venta?
¿Cómo se asegura que los hilos de Galicia se venderán de manera equitativa?"
13,"en monedes de plata, y oro; quien le haya encontrado le entregará en Madrid en casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa n. 11 frente á la Iglesia de la Buenadicha, donde darán el hallazgo.","El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.","El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.","¿En qué tipo de monedas se entregará el objeto encontrado?
¿Dónde se debe entregar el objeto encontrado en Madrid?
¿Quién es la persona a la que se debe entregar el objeto encontrado en Madrid?","1. ¿Dónde se entregará el hallazgo si se encuentra a la persona mencionada en el texto?
2. ¿Qué tipo de monedas recibirá la persona que encuentre el objeto perdido?
3. ¿En qué dirección específica se encuentra la casa del Coronel Don Basilio Cano en Madrid?"
14,"En la calle de Chinchilla, esquina á la de la Abada, enfrente del viller, se hallan unas algalias de goma elástica y candelillas emp áslicas, unas y otras mui eficaces para la curacion de los que padecen mal de orina.","En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran unas almohadillas de goma elástica y velas de cera sintética, ambas muy eficaces para tratar a aquellos que sufren de problemas urinarios.","En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran algalias de goma elástica y candelillas, instrumentos muy eficaces para tratar a aquellos que sufren de problemas urinarios.","¿Qué se encuentra en la calle de Chinchilla, esquina a la de la Abada, enfrente del viller?
¿Qué tipo de productos se mencionan como eficaces para la curación de los que padecen mal de orina?
¿Qué características tienen las algalias de goma elástica y candelillas emp áslicas mencionadas en el texto?","¿Qué se puede encontrar en la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller?
¿Qué tipo de instrumentos se mencionan como eficaces para tratar a quienes padecen mal de orina?
¿Dónde se ubican las algalias de goma elástica y candelillas según el texto?"
15,"7.º Que el remate del Almanake ha de celebrarse el dia 8 de este mes á las doce de su mañana en la auditoría de Guerra de esta plaza, cale del Principe, á presencia del Sr. auditor D. Benito Salinas, comisionado por n para el efecto, en la inteligencia que desde hoy se admitiran las bosturas que se hiciesen siendo arregladas á lo anteriormente prevenido, y deberál egecutarse por mallo de D Custodio Eupiquez, escribano principal de este juzgado militar y de la comisión.","El remate del Almanake se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe, en presencia del Sr. auditor D. Benito Salinas, comisionado para este fin. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, escribano principal de este juzgado militar y de la comisión.","7.º El remate del Calendario se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe. Se hará en presencia del Sr. auditor D. Benito Salinas. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, notario principal de este juzgado militar y de la comisión.",¿Cuándo está programado el remate del Almanake y quién estará presente en la auditoría de Guerra? ¿Qué se debe hacer desde hoy con las bosturas para participar en el remate? ¿Quién será el encargado de ejecutar el remate según lo establecido en el texto?,"1. ¿Dónde se llevará a cabo el remate del Almanake y quién estará presente?
2. ¿Quién fue comisionado para el remate del Almanake?
3. ¿Quién será el encargado de la ejecución del remate del Almanake?"
16,"Ben-Mogheiran refiere en su libro intitulado el Nighiaristan, que habiendo venido á una extrema indigencia, dejó la Ciudad de Damasco, su Pays y en donde residia, y pasó á establecerse con sus hijos á Bagdad, Ciudad de la Turquia Asiatica, en tiempo que el celebre Fadhel ben Jahia era el mayor privado del califa Harounal-Raschild.","Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de Turquía en Asia. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era el principal consejero del califa Harounal-Raschild.","Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de la Turquia Asiatica. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era consejero del califa Harounal-Raschild.","¿Quién es el autor del libro mencionado en el texto?  
¿Por qué Ben-Mogheiran dejó la Ciudad de Damasco y se estableció en Bagdad?  
¿Qué cargo ocupaba Fadhel ben Jahia en el tiempo en que Ben-Mogheiran se trasladó a Bagdad con sus hijos?","¿Quién relata en su libro llamado el Nighiaristan sobre su experiencia de dejar Damasco por Bagdad debido a la extrema pobreza? 
¿Por qué Ben-Mogheiran decidió mudarse con sus hijos a Bagdad desde Damasco? 
¿En qué ciudad de la Turquía Asiática se estableció Ben-Mogheiran con sus hijos según el relato en el Nighiaristan?"
17,"Quien quisiere tratar de comprarlas á dinero metálico ó vales reales, acadirá á la calle de Ministriles, casa num 24, quarto principal, donde se le informará de la cabida y parages nonde se hallan dichas tierras.","Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.","Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.","¿Dónde debe dirigirse alguien que desee comprar las tierras mencionadas con dinero metálico o vales reales?
¿Qué información recibirá la persona que vaya a la calle de Ministriles, casa num 24, quarto principal?
¿Qué se le informará a quien acuda a la dirección mencionada sobre las tierras en cuestión?","¿Dónde puede alguien dirigirse si desea comprar las tierras con dinero en efectivo o vales reales?
¿Qué información recibirá la persona en la calle de Ministriles, casa número 24, cuarto principal?
¿Qué se le informará a la persona sobre las tierras en ese lugar?"
18,"Un matrimonio jóven, sin hijos, que el marido escribe y cuenta bien, y la muger cose y plancha, y ambos guisan á la española, inglesa é italiana, desea colocarse dentro ó fuera de esta corte: tiene personas que abonen su conducta.","Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.","Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.","¿Qué habilidades específicas tiene el marido y la mujer en este matrimonio joven? 
¿Qué tipo de cocina saben preparar tanto el marido como la mujer? 
¿Qué desean lograr este matrimonio joven dentro o fuera de la corte?","¿Qué habilidades específicas tiene el marido en este matrimonio joven?  
¿Qué actividades realiza la mujer en este matrimonio?  
¿Qué tipo de referencias pueden respaldar el buen comportamiento de este matrimonio?"
19,"Calpurnia, muger de Julio Cesar, é hija de Pison, soñó que asesinaban en sus mismos brazos á su marido, víspera de la muerte de aquel hombre ilustre; á lo que se añadió que luego que se desperto se abrió la puerta del quarto en que dormian, haciendo un gran ruido.","Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.","Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.",¿Quién es Calpurnia y cuál es su relación con Julio César? ¿Qué suceso perturbador experimentó Calpurnia en su sueño? ¿Qué ocurrió después de que Calpurnia se despertó de su sueño?,"¿Quién era Calpurnia y cuál era su relación con Julio César y Pison?
¿Qué sucedió en el sueño de Calpurnia con respecto a su esposo?
¿Qué detalle adicional ocurrió después de que Calpurnia se despertara del sueño en el que veía a su marido siendo asesinado?"
20,"D. Felipe Fernandez, que vive calle del Medio dia grande n. 8 qto. principal casa que llaman del Sol, copiará de buena letra quanto se le encargue, á real el pliego de 21 lineas por llana, y á real y med. los que lleven 25, en lo que se promete dar gusto á las personas que le favorezcan, sirviendoles con la mayor brevedad. ","Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio  los que lleven 25, en lo que se promete dar gusto á las personas que le favorezcan, sirviendoles con la mayor brevedad. ","Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio los que lleven 25. Se compromete a dar un buen servicio, sirviendoles con la mayor brevedad. ","¿Quién copiará de buena letra cuanto se le encargue?
¿Cuánto cobrará D. Felipe Fernandez por copiar un pliego de 21 líneas?
¿Qué promete D. Felipe Fernandez a las personas que le favorezcan?","¿Dónde vive D. Felipe Fernández y en qué planta se encuentra su casa?
¿Cuánto cobrará D. Felipe Fernández por copiar un pliego de 21 líneas escritas a una sola cara?
¿Qué se compromete a hacer D. Felipe Fernández para las personas que le favorezcan con su trabajo de copiado?"
21,"Una señora de honor con criado y criada desea vivir en compañia de otra de las mismas circunstancias, ó Señor Sacerdote: pagando el quarto á medias: en la inteligencia que sus criados servirán á los dos en lo que se ofrezca á quien le acomode este partido, podrá avisar al criado del Sr. A iministrador de este Periódico, carrera de San Gerónimo.","Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer en las mismas circunstancias. Señor Sacerdote, pagando la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo.","Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer o un Señor Sacerdote en las mismas circunstancias. Se pagará la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo.","¿Qué tipo de acuerdo busca la señora de honor con criado y criada?
¿Qué se espera que hagan los criados en este acuerdo?
¿Dónde puede contactar el criado del Sr. Administrador de este Periódico para informar sobre este acuerdo?","¿Qué tipo de acuerdo busca la mujer honorable con criado y criada para vivir en compañía de otra persona en las mismas circunstancias? 
¿Dónde se encuentra ubicado el Sr. Administrador de este Periódico al que se debe informar? 
¿Qué se espera que hagan los sirvientes en esta situación de vivir en compañía de otra persona en las mismas circunstancias?"
22,"Venta pública, calle de la Concepcion Gerónima, núm. 9, efectos que se han de vender hoy 1.º del corriente: una caja de costura para señora, hecha en la China, un pañuelo manton merino negro de dos varas en cuadro, cuatro grabados de flores muy bien iluminadas propias para copiar cualquiera que se dedique al dibujo, una almoadilla de costura de caoba para señora, un buen pulpitre de caoba, un jarro y palancana de china que se dará en un precio moderado, dos escopetas de dos cañones, la una francesa y la otra española, un anteojo muy bueno, dos espadas doradas, una coleccion completa de estampas de caza, y dos Concepciones y una Do orosa, pintadas al olio, de un tamaño regular.","Hoy, en la calle de la Concepción Gerónima número 9, se llevará a cabo una venta pública con los siguientes artículos: una caja de costura hecha en China para señora, un pañuelo mantón negro de merino de dos varas cuadradas, cuatro grabados de flores muy bien iluminadas ideales para copiar para aquellos dedicados al dibujo, una almohadilla de costura de caoba para señora, un buen escritorio de caoba, un jarrón y una palangana de porcelana china a un precio razonable, dos escopetas de dos cañones, una francesa y otra española, un anteojo de buena calidad, dos espadas doradas, una colección completa de estampas de caza, y dos pinturas al óleo de tamaño regular: una de la Concepción y otra de la Virgen Dolorosa.","Hoy, en la calle de la Concepción Gerónima número 9, se llevará a cabo una venta pública con los siguientes artículos: una caja de costura hecha en China para señora, un pañuelo mantón negro de merino de dos varas cuadradas, cuatro grabados de flores muy bien iluminadas ideales para copiar para aquellos dedicados al dibujo, una almohadilla de costura de caoba para señora, un buen escritorio de caoba, un jarrón y una palangana de china a un precio razonable, dos escopetas de dos cañones, una francesa y otra española, un anteojo muy bueno, dos espadas doradas, una colección completa de estampas de caza, y dos pinturas al óleo de tamaño regular: una de la Concepción y otra de la Virgen Dolorosa.","¿Qué objetos se están vendiendo en la calle de la Concepción Gerónima, número 9? 
¿Cuántas escopetas se mencionan en la lista de objetos a la venta? 
¿Qué tipo de grabados se describen como propios para copiar para aquellos que se dedican al dibujo?","¿Qué artículos se venderán en la calle de la Concepción Gerónima número 9 hoy?
¿Cuántas escopetas de dos cañones estarán disponibles para la venta?
¿Qué tipo de pinturas al óleo se ofrecerán en la venta pública de hoy?"
