,original,gpt,manual,Preguntas_manual
10,"Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.","Si alguien perdió una yegua que encontró en el área de Ballecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si das las características.","Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.","
1. ¿Cuál fue la fecha en la que se encontró la yegua en el área de Vallecas?
2. ¿A qué persona debe ir la persona que perdió la yegua?"
11,"Entre 7 y 8 de la mañana del 29 del pasado setiembre se extravió del portal de la calle Mayor, núm. 7, una burra de leche, pelo rubio, aparejada, con una matadura en la espaldilla izquierda, y herrada en el hocico.","El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva aparejo, tiene una herida en la espalda izquierda y está marcada en el hocico.","El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.","
1. ¿En qué día y hora se perdió la burra de leche?
2. ¿Qué color era la burra y ¿tenía alguna marca en el hocico?"
12,"baxo entrando en su portal á mano derecha una partida de hilos de Galicia, de todas clases para coser y hacer calcetas, y se dará con toda equidad.","Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.","Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.","
1. ¿En qué tipo de hilos de Galicia se venderán de manera justa en el portal?
2. ¿Hay algún tipo de hilo de Galicia que no se venderán de manera justa en el portal?"
13,"en monedes de plata, y oro; quien le haya encontrado le entregará en Madrid en casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa n. 11 frente á la Iglesia de la Buenadicha, donde darán el hallazgo.","El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.","El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.","
1. ¿En qué lugar se entregará el hallazgo?
2. ¿Qué recibirá quien lo encuentre?"
14,"En la calle de Chinchilla, esquina á la de la Abada, enfrente del viller, se hallan unas algalias de goma elástica y candelillas emp áslicas, unas y otras mui eficaces para la curacion de los que padecen mal de orina.","En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran unas almohadillas de goma elástica y velas de cera sintética, ambas muy eficaces para tratar a aquellos que sufren de problemas urinarios.","En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran algalias de goma elástica y candelillas, instrumentos muy eficaces para tratar a aquellos que sufren de problemas urinarios.","
1. ¿En qué lugar se encuentran algalias de goma elástica y candelillas?
2. ¿Qué problemas urinarios se tratan con instrumentos muy eficaces?"
15,"7.º Que el remate del Almanake ha de celebrarse el dia 8 de este mes á las doce de su mañana en la auditoría de Guerra de esta plaza, cale del Principe, á presencia del Sr. auditor D. Benito Salinas, comisionado por n para el efecto, en la inteligencia que desde hoy se admitiran las bosturas que se hiciesen siendo arregladas á lo anteriormente prevenido, y deberál egecutarse por mallo de D Custodio Eupiquez, escribano principal de este juzgado militar y de la comisión.","El remate del Almanake se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe, en presencia del Sr. auditor D. Benito Salinas, comisionado para este fin. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, escribano principal de este juzgado militar y de la comisión.","7.º El remate del Calendario se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe. Se hará en presencia del Sr. auditor D. Benito Salinas. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, notario principal de este juzgado militar y de la comisión.","
1. ¿En qué lugar se llevará a cabo el remate del Calendario?
2. ¿Quién estará presente en la auditoría de Guerra para el remate del Calendario?"
16,"Ben-Mogheiran refiere en su libro intitulado el Nighiaristan, que habiendo venido á una extrema indigencia, dejó la Ciudad de Damasco, su Pays y en donde residia, y pasó á establecerse con sus hijos á Bagdad, Ciudad de la Turquia Asiatica, en tiempo que el celebre Fadhel ben Jahia era el mayor privado del califa Harounal-Raschild.","Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de Turquía en Asia. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era el principal consejero del califa Harounal-Raschild.","Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de la Turquia Asiatica. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era consejero del califa Harounal-Raschild.","
1. ¿En qué lugar se mudó Ben-Mogheiran con sus hijos?
2. ¿Durante cuál reinado ocurrió la mudanza de Ben-Mogheiran?"
17,"Quien quisiere tratar de comprarlas á dinero metálico ó vales reales, acadirá á la calle de Ministriles, casa num 24, quarto principal, donde se le informará de la cabida y parages nonde se hallan dichas tierras.","Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.","Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.","
1. ¿Cómo se puede comprar las tierras con dinero en efectivo o vales reales?
2. ¿En qué lugar se puede encontrar la información sobre la cantidad y ubicación de las tierras?"
18,"Un matrimonio jóven, sin hijos, que el marido escribe y cuenta bien, y la muger cose y plancha, y ambos guisan á la española, inglesa é italiana, desea colocarse dentro ó fuera de esta corte: tiene personas que abonen su conducta.","Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.","Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.","
1. ¿Qué estilo de cocina son capaces de preparar el matrimonio joven?
2. ¿En qué estilo de habilidades tiene el marido del matrimonio joven?"
19,"Calpurnia, muger de Julio Cesar, é hija de Pison, soñó que asesinaban en sus mismos brazos á su marido, víspera de la muerte de aquel hombre ilustre; á lo que se añadió que luego que se desperto se abrió la puerta del quarto en que dormian, haciendo un gran ruido.","Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.","Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.","
1. ¿Qué sucedió a Calpurnia en su sueño?
2. ¿Cuál fue el efecto de la apertura de la puerta de la habitación en la que dormían?"
20,"D. Felipe Fernandez, que vive calle del Medio dia grande n. 8 qto. principal casa que llaman del Sol, copiará de buena letra quanto se le encargue, á real el pliego de 21 lineas por llana, y á real y med. los que lleven 25, en lo que se promete dar gusto á las personas que le favorezcan, sirviendoles con la mayor brevedad. ","Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio  los que lleven 25, en lo que se promete dar gusto á las personas que le favorezcan, sirviendoles con la mayor brevedad. ","Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio los que lleven 25. Se compromete a dar un buen servicio, sirviendoles con la mayor brevedad. ","
1. ¿Cuál es la tarea que Don Felipe Fernández se encargará de realizar?
2. ¿Cuánto cobrará Don Felipe Fernández por cada pliego de 21 líneas escritas a una sola cara y por cada pliego de 25 líneas?"
21,"Una señora de honor con criado y criada desea vivir en compañia de otra de las mismas circunstancias, ó Señor Sacerdote: pagando el quarto á medias: en la inteligencia que sus criados servirán á los dos en lo que se ofrezca á quien le acomode este partido, podrá avisar al criado del Sr. A iministrador de este Periódico, carrera de San Gerónimo.","Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer en las mismas circunstancias. Señor Sacerdote, pagando la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo.","Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer o un Señor Sacerdote en las mismas circunstancias. Se pagará la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo.","
1. ¿Qué tipo de vivienda desea una mujer honorable con un sirviente y una sirvienta?
2. ¿En qué lugar se encuentra la daga perdida y quién se recompensará al que la haya encontrado?"
22,"Venta pública, calle de la Concepcion Gerónima, núm. 9, efectos que se han de vender hoy 1.º del corriente: una caja de costura para señora, hecha en la China, un pañuelo manton merino negro de dos varas en cuadro, cuatro grabados de flores muy bien iluminadas propias para copiar cualquiera que se dedique al dibujo, una almoadilla de costura de caoba para señora, un buen pulpitre de caoba, un jarro y palancana de china que se dará en un precio moderado, dos escopetas de dos cañones, la una francesa y la otra española, un anteojo muy bueno, dos espadas doradas, una coleccion completa de estampas de caza, y dos Concepciones y una Do orosa, pintadas al olio, de un tamaño regular.","Hoy, en la calle de la Concepción Gerónima número 9, se llevará a cabo una venta pública con los siguientes artículos: una caja de costura hecha en China para señora, un pañuelo mantón negro de merino de dos varas cuadradas, cuatro grabados de flores muy bien iluminadas ideales para copiar para aquellos dedicados al dibujo, una almohadilla de costura de caoba para señora, un buen escritorio de caoba, un jarrón y una palangana de porcelana china a un precio razonable, dos escopetas de dos cañones, una francesa y otra española, un anteojo de buena calidad, dos espadas doradas, una colección completa de estampas de caza, y dos pinturas al óleo de tamaño regular: una de la Concepción y otra de la Virgen Dolorosa.","Hoy, en la calle de la Concepción Gerónima número 9, se llevará a cabo una venta pública con los siguientes artículos: una caja de costura hecha en China para señora, un pañuelo mantón negro de merino de dos varas cuadradas, cuatro grabados de flores muy bien iluminadas ideales para copiar para aquellos dedicados al dibujo, una almohadilla de costura de caoba para señora, un buen escritorio de caoba, un jarrón y una palangana de china a un precio razonable, dos escopetas de dos cañones, una francesa y otra española, un anteojo muy bueno, dos espadas doradas, una colección completa de estampas de caza, y dos pinturas al óleo de tamaño regular: una de la Concepción y otra de la Virgen Dolorosa.","
1. ¿En qué calle se llevará a cabo la venta pública?
2. ¿Qué artículos estarán en la venta pública?"
23,"Perdona, respetable joven, exclamó mi padre mirandole con agrado y amistad: he sido demasiado precipitado en mi juicio; pero cómo posees el secreto de enternecermel sigue, sigue tu relación.","Perdona, joven respetable -dijo mi padre con agrado y amistad-, he sido muy apresurado en mi opinión; pero cómo logras conmoverme, por favor, continúa con tu historia.","Perdona, joven respetable -dijo mi padre con agrado y amistad-, he sido muy apresurado en mi opinión; pero cómo logras conmoverme, por favor, continúa con tu historia.","
1. ¿Cómo logras conmoverme, joven respetable?
2. ¿Qué opinión tienes sobre el matrimonio sin hijos?"
24,"Se ha perdido el dia 30 del pasado una capa de camelote, desde la Carbonería de la plazuela de la Leña, hasta la calle del Soldado; quien la hubiese encontrado, la entregará en la taberna de dicha calle frente de la fuentecilla, donde darán el hallazgo.","El día 30 del mes pasado se perdió una capa de baja calidad desde la tienda de carbón en la pequeña plaza de la Leña hasta la calle del Soldado. La persona que la encuentre deberá entregarla en la taberna de dicha calle, frente a la fuente, donde se recompensará el hallazgo.","El día 30 del mes pasado se perdió una capa impermeable, entre la Carbonería de la plazuela de la Leña, hasta la calle del Soldado. La persona que la encuentre deberá entregarla en la taberna de dicha calle, frente de la fuentecilla.","
1. ¿En qué lugar se perdió la capa impermeable?
2. ¿A qué lugar deberá entregarla la persona que la encuentre?"
25,"De mi retiro he salido tan solo, Señor, por ver nsa deldad ó muger que del Brasil ha venido: 794 to logré; y á el cielo pido con todo mi corazon bendiga tan bella union, consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon.","He salido de mi retiro solo, Señor, para ver a una dama que ha venido de Brasil. Lo conseguí; y le pido al cielo con todo mi corazón que bendiga esta hermosa unión, que consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon.","He salido de mi retiro solo, Señor, para ver a una dama que ha venido de Brasil. Lo conseguí; y le pido al cielo con todo mi corazón que bendiga esta hermosa unión, que consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon.","
1. ¿Qué es lo que el narrador hizo para ver a la dama que había venido de Brasil?
2. ¿Qué le pidió al cielo el narrador después de ver a la dama?"
26,"El 26 amanecieron estos miserables con sus esperanzas algo amortiguadas, y se consternaron prodigiosamente al ver el numeroso convol de ministros, empleados, y toda especie de opresores que, llenos de amargura, dolor y abatimiento, dexaban sus casas y familias, tal vez para no volver á verlas jamas; pero sin embargo ostentaban un orgullo afectado que intimido á aquellos espíritus débiles que en todo ven y de todo deducen consecuencias funestas.","El 26 de amanecieron estos pobres con sus esperanzas algo disminuidas, y se sorprendieron enormemente al ver el numeroso grupo de ministros, empleados y todo tipo de opresores que, llenos de amargura, dolor y tristeza, dejaban sus casas y familias, tal vez para no volver a verlas nunca más. Sin embargo, ostentaban un orgullo fingido que asustaba a aquellos espíritus débiles que ven todo de manera negativa y sacan conclusiones desastrosas.","El 26 amanecieron estos miserables con sus esperanzas algo disminuidas, y se sorprendieron enormemente al ver el numeroso grupo de ministros, empleados y todo tipo de opresores que, llenos de amargura, dolor y tristeza, dejaban sus casas y familias, tal vez para no volver a verlas nunca más. Sin embargo, ostentaban un orgullo fingido que asustaba a aquellos espíritus débiles que ven todo de manera negativa y sacan conclusiones desastrosas.","
1. ¿Qué pasó el 26 amanecer para los miserables en el texto?
2. ¿Por qué los opresores que abandonaban sus casas y familias en el texto se sorprendieron enormemente?"
27,"En la calle del Amor de Dios, en casa del maestro de coches n. 8 se venden un forlon, la caxa á la inglesa, y elejuago á la española, con exes de fierro, y una berlina á la inglesa.","En la calle del Amor de Dios, en la casa del maestro de coches número 8, se están vendiendo un carruaje grande y espacioso de estilo inglés, una caja también al estilo inglés y un juego de ruedas españolas, todas con ejes de hierro. Además, también se encuentra disponible una berlina al estilo inglés.","En la calle del Amor de Dios, en la casa del maestro de coches número 8, se están vendiendo un carruaje grande, la caja también al estilo inglés y un juego de ruedas españolas, todas con ejes de hierro. Además, también se encuentra disponible una berlina al estilo inglés.","
1. ¿En qué lugar se encuentran los carruajes y juegos de ruedas para la venta?
2. ¿Qué tipo de automoviles se pueden encontrar en la casa del maestro de coches número 8?"
28,"Mañane sabado en el de la Cruz se egecutará la opera cómica nueva en 3 actos titulada el Principe de Catania, la que estará adornada de bayles coros, decoraciones nuevas y de todo aparato teartal, será precedida de una gran sinfonía propia de la misma ópera.  ","Mañana sábado, en el Teatro de la Cruz, se llevará a cabo la representación de una ópera cómica nueva, titulada ""El Príncipe de Catania"", la cual consta de 3 actos. Esta obra estará decorada con bailes, coros y nuevas decoraciones teatrales. Además, será precedida por una gran sinfonía compuesta especialmente para esta ópera.","Mañana sábado, en el Teatro de la Cruz, se llevará a cabo la representación de una ópera cómica nueva, titulada ""El Príncipe de Catania"", la cual consta de 3 actos. Esta obra estará decorada con bailes, coros y nuevas decoraciones teatrales. Además, será precedida por una gran sinfonía compuesta especialmente para esta ópera.","
1. ¿En qué teatro se llevará a cabo la representación de la ópera cómica ""El Príncipe de Catania""?
2. ¿Cuántos actos consta la ópera cómica ""El Príncipe de Catania""?"
29,"La Regencia del Reino interesada mul particularmente en conservar la tranquilidad interior de sus pueblos, y facilitar á los que han quedado libres de la dominacion enemiga los medios de detener el curso de los males que les ha acarreado la arbitrariedad con que ha procedido el gobierno intruso en la imposicion y manejo de contribuciones, dispuso que los empleados en la Hacienda pública de esta provincia que emigraron en las últimas invasiones, se presentasen en esta capital luego que dexase de ser oprimida por las tropas francesas.","La Regencia del Reino está especialmente interesada en mantener la tranquilidad interior de sus pueblos y ayudar a aquellos que se han liberado del dominio enemigo a detener los problemas que les ha causado la arbitrariedad del gobierno intruso al imponer y gestionar impuestos. Por eso, decidió que los empleados de la Hacienda pública de esta provincia que emigraron durante las últimas invasiones debían presentarse en esta capital una vez que dejara de estar oprimida por las tropas francesas.","La Regencia del Reino está especialmente interesada en mantener la tranquilidad interior de sus pueblos y ayudar a aquellos que se han liberado del dominio enemigo a detener los problemas que les ha causado el comportamiento del gobierno intruso al imponer y gestionar impuestos. Por eso, decidió que los empleados de la Hacienda pública de esta provincia que emigraron durante las últimas invasiones debían presentarse en esta capital una vez que dejara de estar oprimida por las tropas francesas.","
1. ¿Por qué la Regencia del Reino está especialmente interesada en mantener la tranquilidad interior de sus pueblos?
2. ¿Por qué los empleados de la Hacienda pública de esta provincia que emigraron durante las últimas invasiones debieron presentarse en la capital una vez que dejara de estar oprimida por las tropas francesas?"
30,"Dá con la mayor aceleracion todas sus órdenes para evaquar la capital, y los ciegos y criminales sequaces de su partido esperan el estruendo del cañon que habia de avisarles aquella noche el fatal imomento de su partida.",El líder da rápidamente todas sus órdenes para evacuar la capital. Los seguidores ciegos y criminales de su partido esperan el sonido del cañón que les avisará esa noche el momento fatal de su partida.,Da rápidamente todas sus órdenes para evacuar la capital. Los incondicionales y criminales seguidores de su partido esperan el sonido del cañón que les avisará esa noche el momento fatal de su partida.,"
1. ¿Qué sucederá con los seguidores de su partido?
2. ¿Cuando se espera que suceda el momento fatal?"
